Rank,Song
1,Mood
2,WAP
3,Laugh Now Cry Later
4,Blinding Lights
5,Dynamite
6,Savage Love (Laxed - Siren Beat)
7,Rockstar
8,I Hope
9,Watermelon Sugar
10,Lemonade
11,Before You Go
12,Dreams
13,For The Night
14,Holy
15,Go Crazy
16,Got What I Got
17,One Of Them Girls
18,Whats Poppin
19,Circles
20,Be Like That
21,Come & Go
22,Wonder
23,Franchise
24,Mr. Right Now
25,Adore You
26,Bang!
27,Break My Heart
28,ily
29,What You Know Bout Love
30,More Than My Hometown
31,Roses
32,Kings & Queens
33,Said Sum
34,Some Girls
35,Don't Start Now
36,Runnin
37,Mood Swings
38,The Woo
39,Rags2Riches
40,Popstar
41,One Beer
42,Lovin' On You
43,If The World Was Ending
44,I Should Probably Go To Bed
45,Happy Anywhere
46,Tap In
47,Pretty Heart
48,My Ex's Best Friend
49,24
50,Midnight Sky
51,Love You Like I Used To
52,Wishing Well
53,Don't Stop
54,Levitating
55,Hawai
56,7 Summers
57,You Broke Me First.
58,"Baby, I'm Jealous"
59,Diamonds
60,Heather
61,Ain't Always The Cowboy
62,Everywhere But On
63,Glock In My Lap
64,Starting Over
65,Cool Again
66,Hit Different
67,Martin & Gina
68,The Bigger Picture
69,Better Together
70,OK Not To Be OK
71,Greece
72,Ice Cream
73,Un Dia (One Day)
74,Rich N*gga Sh*t
75,Relacion
76,B.S.
77,Do It
78,"Big, Big Plans"
79,Breaking Me
80,U 2 Luv
81,I Called Mama
82,Kacey Talk
83,Blind
84,Good Time
85,Cardigan
86,Bloody Valentine
87,Girls In The Hood
88,Slidin
89,Smile
90,Caramelo
91,Dollaz On My Head
92,Epidemic
93,Put Your Records On
94,Many Men
95,Hole In The Bottle
96,3 Headed Goat
97,La Jeepeta
98,Sofia
99,One Too Many
100,You Got It
